ID,rA,rB,rC,rD,rE,rF,rG,rH,rI,rJ,rK,rL,rM,rN,rO,rP,rQ
20621,2,3,0,2,1,1,0,0,2,1,0,1,1,3,0,1,0
20623,0,1,0,0,1,1,0,0,2,1,0,3,1,3,2,1,0
20624,3,2,0,0,2,1,0,0,2,1,0,1,1,3,2,1,0
20625,0,1,0,0,1,1,0,0,2,1,0,1,1,3,1,2,3
20627,0,1,3,0,1,2,3,3,1,2,3,2,2,3,3,2,3
20628,0,3,0,2,1,1,0,0,1,1,3,1,1,3,3,1,0
20630,0,1,3,2,1,2,3,1,1,2,3,2,1,1,1,2,3
20631,0,1,3,0,2,2,0,0,1,2,3,2,1,3,1,2,3
20636,0,1,3,2,1,1,3,1,1,1,3,2,1,3,1,2,3
20638,0,1,3,2,2,2,3,3,1,2,3,2,2,3,1,2,3
20919,0,2,3,0,2,1,0,3,2,1,0,0,1,3,2,2,3
20921,0,1,3,0,2,2,3,3,1,2,3,0,2,3,1,2,3
20922,0,1,3,0,1,1,3,3,1,2,0,0,1,3,1,2,3
20923,0,1,3,0,1,1,3,3,1,2,3,0,1,3,1,2,3
20925,0,1,0,0,1,1,0,0,2,1,0,3,1,3,2,1,0
20927,3,2,0,0,2,2,0,0,2,2,3,3,1,3,2,1,0
20943,0,1,0,2,1,1,0,2,1,1,3,1,1,3,2,1,0
20946,3,2,2,2,1,1,2,2,1,1,1,3,3,1,2,1,2
20947,0,1,0,2,1,1,0,2,2,1,0,1,1,3,2,2,3
20964,0,1,3,2,1,1,0,3,1,2,0,2,1,3,1,2,3
20968,2,3,0,2,3,1,0,0,1,1,3,3,1,3,2,3,0
20973,2,3,0,2,3,1,0,0,2,1,0,3,1,3,2,3,0
20975,1,0,0,2,3,1,0,0,1,1,3,3,1,3,1,3,0
20978,3,2,3,2,2,2,0,2,2,2,0,2,1,3,2,2,0
20985,3,2,0,0,2,2,0,0,2,2,3,1,1,3,2,1,0
21667,0,1,0,0,1,1,0,0,2,3,0,1,1,3,0,2,0
21668,0,2,0,0,1,1,0,0,2,3,0,1,1,3,0,1,0
