ID,rA,rB,rC,rD,rE,rF,rG,rH,rI,rJ,rK,rL,rM,rN,rO,rP,rQ
20621,2,3,0,2,3,1,0,2,0,1,0,1,1,3,0,3,0
20623,0,1,2,2,3,1,2,2,2,1,2,3,3,3,2,3,2
20624,1,0,0,2,0,1,0,2,0,1,0,1,1,3,2,3,0
20625,2,3,2,2,3,1,2,2,2,1,0,1,3,3,3,0,1
20627,2,3,3,2,1,2,3,3,3,2,3,2,2,3,3,2,3
20628,2,3,0,2,3,1,0,2,3,1,3,1,1,3,3,3,0
20630,2,3,1,2,1,2,3,3,3,2,1,0,3,3,3,2,1
20631,2,3,3,2,0,2,2,2,3,2,3,2,1,3,1,0,3
20636,2,3,1,2,1,1,3,1,3,1,3,2,3,3,3,2,1
20638,2,3,3,2,0,2,3,1,3,2,3,2,0,3,3,0,1
20919,2,0,1,2,0,1,2,1,2,1,0,0,3,3,2,0,1
20921,2,3,1,2,0,2,1,1,1,2,3,0,0,3,1,0,1
20922,2,3,1,2,3,1,1,1,1,2,0,0,3,3,1,0,1
20923,2,3,1,2,3,1,1,1,1,2,3,0,3,3,1,0,1
20925,2,3,2,2,3,1,2,2,2,1,0,3,3,3,2,3,2
20927,1,0,2,2,0,2,2,2,2,2,3,3,3,3,2,3,2
20943,2,3,2,2,1,1,0,2,3,1,3,1,3,3,0,1,2
20946,1,2,2,2,1,1,2,2,1,1,1,3,3,1,2,1,2
20947,2,3,2,2,1,1,0,2,0,1,0,1,3,3,0,2,1
20964,2,3,1,2,3,1,0,1,3,2,0,2,3,3,3,0,1
20968,2,3,0,2,3,1,0,2,3,1,3,3,1,3,2,3,0
20973,2,3,0,2,3,1,0,2,0,1,0,3,1,3,2,3,0
20975,1,0,0,2,3,1,0,2,3,1,3,3,1,3,1,3,0
20978,1,0,3,2,2,2,2,0,0,2,2,2,1,3,2,2,0
20985,1,0,0,2,0,2,0,2,0,2,3,1,1,3,2,3,0
